dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,metastases,81,69,8,12,0.8961,0.8519,0.8734
lymph,malign_lymph,61,52,13,9,0.8000,0.8525,0.8254
lymph,fibrosis,4,2,2,2,0.5000,0.5000,0.5000
lymph,normal,2,2,0,0,1.0000,1.0000,1.0000
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,40,2,1,0.9524,0.9756,0.9639
zoo,4,13,13,0,0,1.0000,1.0000,1.0000
zoo,7,10,9,2,1,0.8182,0.9000,0.8571
zoo,6,8,7,0,1,1.0000,0.8750,0.9333
zoo,5,4,3,0,1,1.0000,0.7500,0.8571
zoo,3,5,4,1,1,0.8000,0.8000,0.8000
glass,building_nonfloat,76,43,13,33,0.7679,0.5658,0.6515
glass,building_float,70,52,24,18,0.6842,0.7429,0.7123
glass,vehicle_float,17,3,10,14,0.2308,0.1765,0.2000
glass,headlamps,29,26,10,3,0.7222,0.8966,0.8000
glass,vehicle_nonfloat,13,11,4,2,0.7333,0.8462,0.7857
glass,containers,9,7,11,2,0.3889,0.7778,0.5185
hepatitis,LIVE,123,108,12,15,0.9000,0.8780,0.8889
hepatitis,DIE,32,20,15,12,0.5714,0.6250,0.5970
german,good,700,585,139,115,0.8080,0.8357,0.8216
german,bad,300,161,115,139,0.5833,0.5367,0.5590
vehicle,van,199,196,89,3,0.6877,0.9849,0.8099
vehicle,bus,218,212,40,6,0.8413,0.9725,0.9021
vehicle,saab,217,110,72,107,0.6044,0.5069,0.5514
vehicle,opel,212,81,46,131,0.6378,0.3821,0.4779
breast-w,benign,458,443,20,15,0.9568,0.9672,0.9620
breast-w,malignant,241,221,15,20,0.9364,0.9170,0.9266
