dataset,class,support,tp,fp,fn,precision,recall,f1
german,good,700,532,102,168,0.8391,0.7600,0.7976
german,bad,300,198,168,102,0.5410,0.6600,0.5946
glass,building_nonfloat,76,40,11,36,0.7843,0.5263,0.6299
glass,building_float,70,46,16,24,0.7419,0.6571,0.6970
glass,vehicle_float,17,7,21,10,0.2500,0.4118,0.3111
glass,headlamps,29,26,7,3,0.7879,0.8966,0.8387
glass,vehicle_nonfloat,13,10,8,3,0.5556,0.7692,0.6452
glass,containers,9,9,13,0,0.4091,1.0000,0.5806
hepatitis,LIVE,123,94,7,29,0.9307,0.7642,0.8393
hepatitis,DIE,32,25,29,7,0.4630,0.7813,0.5814
iris,Iris-setosa,50,50,1,0,0.9804,1.0000,0.9901
iris,Iris-virginica,50,44,0,6,1.0000,0.8800,0.9362
iris,Iris-versicolor,50,49,6,1,0.8909,0.9800,0.9333
lymph,metastases,81,64,8,17,0.8889,0.7901,0.8366
lymph,malign_lymph,61,51,16,10,0.7612,0.8361,0.7969
lymph,fibrosis,4,0,9,4,0.0000,0.0000,0.0000
lymph,normal,2,0,0,2,0.0000,0.0000,0.0000
wine,class_2,71,64,1,7,0.9846,0.9014,0.9412
wine,class_3,48,48,4,0,0.9231,1.0000,0.9600
wine,class_1,59,58,3,1,0.9508,0.9831,0.9667
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,38,1,3,0.9744,0.9268,0.9500
zoo,4,13,13,1,0,0.9286,1.0000,0.9630
zoo,7,10,8,1,2,0.8889,0.8000,0.8421
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,4,1,0.4286,0.7500,0.5455
zoo,3,5,3,1,2,0.7500,0.6000,0.6667
